id,name,severity,mitre_technique,mitre_name,tactic,operator,field,pattern,description
R-ADFind-Discovery,ADFind Active Directory Discovery,medium,T1087.002,Account Discovery: Domain Account,Discovery,contains,command_line,adfind|objectcategory=person|objectcategory=computer|objectcategory=group,ADFind를 이용한 AD 사용자/그룹/컴퓨터 조회 정황
R-AMSI-Bypass,AMSI Bypass String,high,T1562.001,Impair Defenses: Disable or Modify Tools,Defense Evasion,contains,command_line,amsiutils|amsiinitfailed|amsiscanbuffer|system.management.automation.amsi,AMSI 우회 관련 문자열 사용 정황
R-ARCHIVE-Collection,Archive Collected Files,low,T1560.001,Archive Collected Data: Archive via Utility,Collection,contains,command_line,7z a|rar a|makecab|compress-archive|tar -cf,압축 도구를 이용한 자료 수집/묶음 정황
R-AUDITPOL-Disable,Windows Audit Policy Disable,high,T1562.002,Impair Defenses: Disable Windows Event Logging,Defense Evasion,contains,command_line,auditpol /set /success:disable|auditpol /set /failure:disable|auditpol /clear,auditpol을 이용한 감사 정책 비활성화 정황
R-BITS-Transfer,BITSAdmin Transfer,low,T1197,BITS Jobs,Defense Evasion,contains,command_line,bitsadmin /transfer|bitsadmin /addfile,bitsadmin을 이용한 전송 작업
R-BROWSER-CredStore,Browser Credential Store Access,medium,T1555.003,Credentials from Password Stores: Credentials from Web Browsers,Credential Access,contains,command_line,login data|web data|cookies|key4.db|logins.json,브라우저 자격증명 저장소 접근/복사 정황
R-CERTUTIL-Download,Certutil Download Or Decode,medium,T1105,Ingress Tool Transfer,Command and Control,contains,command_line,certutil -urlcache|certutil.exe -urlcache|certutil -decode|certutil.exe -decode,certutil을 이용한 파일 다운로드 또는 디코딩 의심 행위
R-CLIPBOARD-Access,Clipboard Data Access,low,T1115,Clipboard Data,Collection,contains,command_line,get-clipboard|powershell get-clipboard|clip.exe,클립보드 데이터 조회/수집 정황
R-CMSTP-Bypass,CMSTP UAC Bypass Pattern,high,T1218.003,System Binary Proxy Execution: CMSTP,Defense Evasion,contains,command_line,cmstp.exe /s|cmstp /s|cmstp.exe /au|cmstp /au,cmstp를 이용한 프로파일 설치/UAC 우회 의심
R-CONTROL-CPL,Control Panel CPL Execution,low,T1218.002,System Binary Proxy Execution: Control Panel,Defense Evasion,contains,command_line,"control.exe *.cpl|control *.cpl|rundll32.exe shell32.dll,Control_RunDLL",control.exe/rundll32를 이용한 CPL 실행 의심
R-DEFENDER-Disable,Microsoft Defender Disable Attempt,high,T1562.001,Impair Defenses: Disable or Modify Tools,Defense Evasion,contains,command_line,set-mppreference -disablerealtimemonitoring $true|set-mppreference -disableioavprotection $true|add-mppreference -exclusionpath|windows defender\exclusions,Defender 실시간 감시/보안 기능 비활성화 시도
R-DISCOVERY-Account-System,Account Or System Discovery,low,T1087.001,Account Discovery: Local Account,Discovery,contains,command_line,whoami /all|net user|net localgroup administrators|systeminfo|ipconfig /all|nltest /domain_trusts,"계정, 시스템, 네트워크 정보 수집 명령"
R-DL,Suspicious Web Download,medium,T1105,Ingress Tool Transfer,Command and Control,contains,command_line,invoke-webrequest|wget|curl|net.webclient,웹 요청/다운로드 도구 사용 (일반 패턴)
R-ENC,Encoded PowerShell Command,medium,T1059.001,Command and Scripting Interpreter: PowerShell,Execution,contains,command_line,-encodedcommand|-enc,"Powershell 인코딩 명령 사용 (-encodedcommand, -enc)"
R-EVENTLOG-Clear,Windows Event Log Clear,high,T1070.001,Indicator Removal: Clear Windows Event Logs,Defense Evasion,contains,command_line,wevtutil cl|Clear-EventLog|Remove-EventLog,Windows 이벤트 로그 삭제 또는 은폐 정황
R-FORFILES-ProxyExec,Forfiles Proxy Execution,low,T1202,Indirect Command Execution,Defense Evasion,contains,command_line,forfiles /p|forfiles.exe /p|/c cmd /c,forfiles를 이용한 명령 프록시 실행 의심
